Reconstruct, Original, Codec, BPP, MS-SSIM (PyTorch), MS-SSIM (IQA), PSNR_Y, PSNR_U, PSNR_V, VIF, FSIM, NLPD, IW-SSIM, VMAF, PSNR_HVS, MAC/pxl, DecGPU, DecCPU, EncGPU, EncCPU
EPFL_00001_1192x832_24bit_sRGB_001.png, 00001_1192x832.png, EPFL, -1, 0.9999192953109741, 0.999919056892395, 54.02302781616795, 45.15943243873559, 54.22410127226273, 0.9800938963890076, 0.9999594688415527, 0.011038190685212612, 0.9999402165412903, 96.671418, 53.3932188391071, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_002.png, 00001_1192x832.png, EPFL, -1, 0.9998497366905212, 0.9998488426208496, 51.59707224973063, 41.730817338480634, 50.275468877318175, 0.9668163657188416, 0.9999235272407532, 0.015024285763502121, 0.9998914003372192, 96.556104, 51.390461816033024, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_003.png, 00001_1192x832.png, EPFL, -1, 0.9997587203979492, 0.9997580051422119, 49.33808773034951, 39.796012885555086, 46.93497413170644, 0.9483720660209656, 0.9998689293861389, 0.019308164715766907, 0.9998175501823425, 96.324813, 49.186343862550366, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_004.png, 00001_1192x832.png, EPFL, -1, 0.9996637105941772, 0.9996638298034668, 47.59209230672934, 38.47855004341359, 45.54936508497937, 0.929340660572052, 0.9998058080673218, 0.02310153655707836, 0.9997300505638123, 96.124391, 47.53021229871217, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_005.png, 00001_1192x832.png, EPFL, -1, 0.9995530843734741, 0.9995532631874084, 46.16121671082848, 37.66774565980879, 44.56702561030907, 0.9100582599639893, 0.9997357130050659, 0.026898978278040886, 0.9996245503425598, 95.918573, 46.09743325372964, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_006.png, 00001_1192x832.png, EPFL, -1, 0.9994349479675293, 0.9994337558746338, 44.96020058411516, 37.05607771325777, 43.85070028662968, 0.8911808133125305, 0.9996590614318848, 0.0304464902728796, 0.9995091557502747, 95.680135, 44.88635706307336, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_007.png, 00001_1192x832.png, EPFL, -1, 0.9993053674697876, 0.9993043541908264, 43.90224563837501, 36.60114605886435, 43.243749980272085, 0.8726427555084229, 0.9995838403701782, 0.034074779599905014, 0.9993757009506226, 95.480436, 43.86427028005493, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_008.png, 00001_1192x832.png, EPFL, -1, 0.9991666674613953, 0.9991658329963684, 42.98562432645291, 36.24284707322369, 42.691649939649324, 0.8554506897926331, 0.9994930028915405, 0.03749231621623039, 0.9992350935935974, 95.241543, 42.89609124467549, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_009.png, 00001_1192x832.png, EPFL, -1, 0.999014139175415, 0.9990130662918091, 42.13697454086848, 35.91423448700313, 42.18703388939435, 0.8387291431427002, 0.9993948936462402, 0.04107800871133804, 0.9990724325180054, 94.916892, 41.99278218783087, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_010.png, 00001_1192x832.png, EPFL, -1, 0.9988575577735901, 0.998856246471405, 41.37613897154114, 35.651338245891566, 41.77448921245549, 0.8228168487548828, 0.9992933869361877, 0.044448837637901306, 0.9988928437232971, 94.634551, 41.20521814549423, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_001.png, 00002_853x945.png, EPFL, -1, 0.9998666644096375, 0.9998651146888733, 56.10542922297613, 54.84944763090302, 56.1882243934874, 0.9795733690261841, 0.9999677538871765, 0.01236903015524149, 0.9998459219932556, 96.723626, 56.92573985894008, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_002.png, 00002_853x945.png, EPFL, -1, 0.9997410178184509, 0.9997391104698181, 53.57584632281861, 53.15132400476737, 54.10883118896632, 0.9637287259101868, 0.9999325275421143, 0.01664314977824688, 0.999708890914917, 96.542095, 54.47715271706167, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_003.png, 00002_853x945.png, EPFL, -1, 0.9995482563972473, 0.9995457530021667, 51.44106408874002, 52.20025166866442, 52.242938815233344, 0.9424698948860168, 0.9998739361763, 0.02139776386320591, 0.9994975328445435, 96.326181, 52.221828707021146, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_004.png, 00002_853x945.png, EPFL, -1, 0.9993103742599487, 0.9993070363998413, 49.783913410178336, 51.4875312673247, 51.402442423223704, 0.9193832874298096, 0.9998024106025696, 0.025898402556777, 0.9992361068725586, 96.080981, 50.38917948404247, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_005.png, 00002_853x945.png, EPFL, -1, 0.9990290999412537, 0.9990248084068298, 48.440576607789545, 50.96294424630729, 50.77233864346135, 0.8956772089004517, 0.9997217655181885, 0.030253568664193153, 0.998921811580658, 95.756746, 48.848964679299826, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_006.png, 00002_853x945.png, EPFL, -1, 0.9987156391143799, 0.9987102746963501, 47.3438870318294, 50.50063351854449, 50.31653048265228, 0.8729185461997986, 0.9996325373649597, 0.03424985334277153, 0.9985778331756592, 95.533215, 47.5466487078021, None, None, None, None, None
