Reconstruct, Original, Codec, BPP, MS-SSIM (PyTorch), MS-SSIM (IQA), PSNR_Y, PSNR_U, PSNR_V, VIF, FSIM, NLPD, IW-SSIM, VMAF, PSNR_HVS, MAC/pxl, DecGPU, DecCPU, EncGPU, EncCPU
EPFL_00001_1192x832_24bit_sRGB_001.png, 00001_1192x832.png, EPFL, -1, 0.9995233416557312, 0.99952232837677, 46.67848453841937, 38.72591244822174, 44.27267997003406, 0.9138022661209106, 0.9997385144233704, 0.026118531823158264, 0.9996219873428345, 95.792202, 46.45096277411884, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_002.png, 00001_1192x832.png, EPFL, -1, 0.9992260932922363, 0.9992241263389587, 44.421208263934616, 37.49409054309109, 42.921411293217744, 0.8770596385002136, 0.9995787143707275, 0.03349879011511803, 0.9993553757667542, 95.406327, 44.182373565966614, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_003.png, 00001_1192x832.png, EPFL, -1, 0.9989292025566101, 0.99892657995224, 42.70777845928896, 36.51978654732267, 41.94987334558206, 0.8445107936859131, 0.9993864893913269, 0.039991673082113266, 0.999053418636322, 95.013055, 42.461588867029086, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_004.png, 00001_1192x832.png, EPFL, -1, 0.9986239671707153, 0.9986211061477661, 41.34555041377952, 35.9037715105233, 41.2434710990144, 0.8160712122917175, 0.999175488948822, 0.04592891037464142, 0.9987205266952515, 94.566981, 41.06994896590345, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_005.png, 00001_1192x832.png, EPFL, -1, 0.9980317950248718, 0.9980273842811584, 39.31150712133383, 35.113770442821036, 40.767865247587245, 0.7699421048164368, 0.9987825751304626, 0.05606970191001892, 0.9980283975601196, 93.762493, 39.13741890038831, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_006.png, 00001_1192x832.png, EPFL, -1, 0.9972919225692749, 0.9972845315933228, 37.437839853514646, 34.51490873205201, 39.92823584635481, 0.7249866724014282, 0.9982402920722961, 0.0672663077712059, 0.9970841407775879, 92.675856, 37.20588993618628, None, None, None, None, None
EPFL_00001_1192x832_24bit_sRGB_007.png, 00001_1192x832.png, EPFL, -1, 0.9965344667434692, 0.9965254664421082, 36.02777668594952, 34.10467859625645, 39.372603695830875, 0.6891032457351685, 0.9976281523704529, 0.07731251418590546, 0.9960537552833557, 91.486789, 35.7135046240711, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_001.png, 00002_853x945.png, EPFL, -1, 0.9985286593437195, 0.9985246062278748, 47.20293092341366, 50.89789575129199, 50.100143410869805, 0.8654031157493591, 0.9996175765991211, 0.03510073572397232, 0.9985083341598511, 95.396993, 47.5341752886031, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_002.png, 00002_853x945.png, EPFL, -1, 0.998187243938446, 0.9981825947761536, 46.355720449934225, 50.47102685356842, 49.68732406168821, 0.8450648188591003, 0.9995161294937134, 0.038717206567525864, 0.9981259107589722, 95.133074, 46.46020212037669, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_003.png, 00002_853x945.png, EPFL, -1, 0.9974883198738098, 0.9974817633628845, 45.05884704966465, 49.86639398337818, 49.197541206427104, 0.809917151927948, 0.9992944598197937, 0.04521927237510681, 0.9972956776618958, 94.544603, 44.80248058543913, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_004.png, 00002_853x945.png, EPFL, -1, 0.9968236684799194, 0.9968135356903076, 44.09834787787732, 49.42336685857402, 48.917087071142205, 0.7819417715072632, 0.9990773797035217, 0.050762638449668884, 0.9964504241943359, 94.073016, 43.54350944930866, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_005.png, 00002_853x945.png, EPFL, -1, 0.9961780309677124, 0.9961656928062439, 43.33350218081973, 49.06557358819362, 48.652448304237886, 0.7586474418640137, 0.9988452792167664, 0.05562003329396248, 0.9955791234970093, 93.556154, 42.55246919629406, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_006.png, 00002_853x945.png, EPFL, -1, 0.9948558807373047, 0.9948375821113586, 42.12627688526899, 48.452183612167566, 48.4175385458276, 0.7196258306503296, 0.9983699321746826, 0.06446603685617447, 0.9937101602554321, 92.694754, 40.953820531984846, None, None, None, None, None
EPFL_00002_853x945_24bit_sRGB_007.png, 00002_853x945.png, EPFL, -1, 0.9939057230949402, 0.9938833117485046, 41.42897226004512, 48.29485254437993, 48.229724801099856, 0.6955552697181702, 0.998023271560669, 0.06989055871963501, 0.9923311471939087, 92.11328, 40.03403610313864, None, None, None, None, None
